model,dataset_id,n,accuracy_mean,accuracy_sd,macro_f1,length_mean,length_sd
claude-haiku-4-5,ag_news,37,0.5135,0.4998,0.4792,7.9730,1.5332
claude-haiku-4-5,mnli,29,0.4138,0.4925,0.5091,8.5517,1.8305
claude-haiku-4-5,sst2,62,0.9032,0.2957,0.9470,7.7097,1.5068
claude-sonnet-4-6,ag_news,55,0.6000,0.4899,0.6452,9.2545,1.8012
claude-sonnet-4-6,mnli,59,0.7797,0.4145,0.8936,8.2373,1.8165
claude-sonnet-4-6,sst2,56,0.8571,0.3499,0.8869,8.9464,2.0215
gemini-2-5-flash,ag_news,75,0.0000,0.0000,0.0000,4.5733,1.0605
gemini-2-5-flash,mnli,75,0.1733,0.3785,0.3098,3.4133,1.2339
gemini-2-5-flash,sst2,75,0.0533,0.2247,0.0816,4.4000,0.7832
gpt-3.5-turbo,ag_news,75,0.4000,0.4899,0.4058,7.4800,4.6457
gpt-3.5-turbo,mnli,75,0.0000,0.0000,0.0000,9.9200,5.5827
gpt-3.5-turbo,sst2,75,0.1733,0.3785,0.2241,8.2533,5.3767
gpt-4.1-mini,ag_news,75,0.4800,0.4996,0.4500,12.2267,1.0779
gpt-4.1-mini,mnli,75,0.0800,0.2713,0.1026,12.2000,1.5406
gpt-4.1-mini,sst2,75,0.2933,0.4553,0.4549,12.5600,1.6832
gpt-4o,ag_news,75,0.4667,0.4989,0.4429,11.9333,3.2221
gpt-4o,mnli,75,0.1067,0.3087,0.1673,13.3600,1.3725
gpt-4o,sst2,75,0.4267,0.4946,0.5584,12.7067,3.5619
gpt-4o-mini,ag_news,75,0.4667,0.4989,0.4432,10.6800,3.4104
gpt-4o-mini,mnli,75,0.0000,0.0000,0.0000,13.0667,1.4174
gpt-4o-mini,sst2,75,0.0800,0.2713,0.1534,13.3867,1.8825
