model,dataset_id,n,corpus_bleu,corpus_chrf,sent_bleu_mean,sent_bleu_sd,sent_chrf_mean,sent_chrf_sd,length_mean,length_sd
claude-haiku-4-5,opus_en_es,33,7.7760,40.0641,9.9559,10.8665,37.3254,19.1342,42.6364,24.4179
claude-haiku-4-5,wmt14_en_de,44,7.2458,44.5155,6.3991,4.7311,40.6098,11.1222,67.1364,25.5099
claude-haiku-4-5,wmt14_en_fr,33,12.6187,52.3356,11.4468,8.5908,48.3853,13.0441,72.4545,29.0820
claude-sonnet-4-6,opus_en_es,38,17.7557,55.5685,19.0649,16.0650,52.2235,20.7835,22.9737,17.6060
claude-sonnet-4-6,wmt14_en_de,53,17.1494,56.5408,17.1376,9.2200,57.6811,15.0493,24.2453,12.9278
claude-sonnet-4-6,wmt14_en_fr,48,32.1753,65.7699,30.8377,16.8403,68.1799,13.2138,26.1250,13.2077
gemini-2-5-flash,opus_en_es,60,4.3710,12.9190,5.2549,12.4448,17.0896,20.1547,9.9833,12.8303
gemini-2-5-flash,wmt14_en_de,60,2.2723,11.6956,4.1847,10.9664,15.8120,18.0534,8.0333,1.6224
gemini-2-5-flash,wmt14_en_fr,60,0.6570,9.2533,2.1883,7.8462,11.0788,9.1093,8.3333,1.1926
gpt-3.5-turbo,opus_en_es,60,33.2403,59.0911,39.1192,27.5276,57.1837,23.4420,13.1000,13.5741
gpt-3.5-turbo,wmt14_en_de,60,24.5542,57.3204,27.6774,22.6224,59.9667,17.5431,19.2500,11.6556
gpt-3.5-turbo,wmt14_en_fr,60,42.5812,67.6254,47.0540,26.5791,71.1659,15.4549,20.7333,12.8826
gpt-4.1-mini,opus_en_es,60,32.1972,59.4657,34.3200,24.0578,56.1212,20.7671,13.2333,13.6752
gpt-4.1-mini,wmt14_en_de,60,25.6147,57.6845,28.3717,22.3283,59.8308,18.1819,19.4333,11.8664
gpt-4.1-mini,wmt14_en_fr,60,42.2667,67.6729,46.6655,27.5143,70.9861,15.6279,21.5333,13.2834
gpt-4o,opus_en_es,60,32.9683,59.3820,35.8431,25.1696,56.8522,21.1361,13.4500,13.8280
gpt-4o,wmt14_en_de,60,25.7230,57.8142,27.8766,21.4609,59.7784,17.1980,19.4500,12.4210
gpt-4o,wmt14_en_fr,60,44.6497,69.3220,49.4631,26.7866,72.8138,16.0825,21.0333,13.2035
gpt-4o-mini,opus_en_es,60,33.0824,59.1554,34.5852,26.2958,55.5925,22.6998,13.7667,13.3546
gpt-4o-mini,wmt14_en_de,60,25.1307,57.6770,23.6922,16.8030,58.0441,16.5663,19.8167,11.5145
gpt-4o-mini,wmt14_en_fr,60,41.8055,66.1429,40.5788,26.9642,68.3685,15.9897,21.8667,12.6379
