claim_id,status,disposition,location,result_family,condition_id,manuscript_claim,observed,representation,sample_policy,primary_source,sha256,notes
C001,Green,Retain,Methods lines 240-244,Representation,fresh_lora_all,"Fresh LoRA cosine uses cumulative root-to-node updates; full FT uses full weights","LoRA rows: artifact=adapter_chain and representation=lora_cumulative_delta; full rows: artifact=model and representation=full_weight",update-space versus full-weight,"fresh 50-tree shared suite; cosine","WeightTraits primary run-set summaries",multiple hashes below,"Corrected wording is accurate"
C002,Green,Retain,Table 2,Fresh topology,flan_lora_k,"50/26; rank 0.97; r_branch -0.89; clade 88%; PAER 72%; RF 2.64; FN 0.34","50/26; 0.966878; -0.892726; 0.876667; 0.72; 2.64; 0.34",lora_cumulative_delta,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_v20260713/lora_k_only_summary.json",237d9c2e2d9b38014e2116ccf64af7c3dca7cc06fae653915f562ca2a3abba29,Exact match
C003,Green,Retain,Table 2,Fresh topology,flan_lora_qkv,"50/26; rank 0.99; r_branch -0.91; clade 94%; PAER 82%; RF 2.32; FN 0.18","50/26; 0.992721; -0.908742; 0.935; 0.82; 2.32; 0.18",lora_cumulative_delta,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_v20260713/lora_qkv_summary.json",d40c42d14d249398695958d835c602444b7ed1f33265f97e304a8ac786b37dc3,Exact match
C004,Green,Retain,Table 2,Fresh topology,flan_lora_full_attn,"50/26; rank 0.99; r_branch -0.91; clade 93%; PAER 80%; RF 2.36; FN 0.20","50/26; 0.989328; -0.913105; 0.925; 0.80; 2.36; 0.20",lora_cumulative_delta,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_v20260713/lora_full_attn_summary.json",38c1bd6a64ef4fc7c243c801e7fe045610ef25233edb27899d2e6a496d4223e2,Exact match
C005,Green,Retain,Table 2,Fresh topology,flan_lora_all_proj,"50/26; rank 0.99; r_branch -0.91; clade 91%; PAER 76%; RF 2.44; FN 0.24","50/26; 0.985865; -0.909963; 0.911667; 0.76; 2.44; 0.24",lora_cumulative_delta,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_v20260713/lora_all_projections_corrected_summary.json",01ff06d9922a33fd8bafa98adc1ba1819f6fceacbb32a7ea86fac1d1555c95cb,Exact corrected-source match
C006,Green,Retain,Table 2,Fresh topology,flan_full_ft,"50/26; rank 0.69; r_branch -0.70; clade 96%; PAER 90%; RF 2.16; FN 0.10","50/26; 0.689429; -0.695290; 0.958333; 0.90; 2.16; 0.10",full_weight,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_v20260713/full_finetune_summary.json",2b93b7ca9adc2003b0161828d91388f82ca683364a4b086ea7d726060052fb20,Exact match
C007,Green,Retain,Table 2,Fresh topology,llama32_lora_r8,"50/26; rank 1.00; r_branch -0.92; clade 96%; PAER 88%; RF 2.20; FN 0.12","50/26; 0.995989; -0.923581; 0.955; 0.88; 2.20; 0.12",lora_cumulative_delta,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_llama32_20260722/r8/direct_run_set_analysis_summary.json",919c382f1142d7719ddbe915a0dc271ed0c8115600a1652f4bd0db8c341d79c3,Exact match
C008,Green,Retain,Table 2,Fresh topology,llama32_lora_r64,"50/26; rank 1.00; r_branch -0.92; clade 97%; PAER 92%; RF 2.12; FN 0.08","50/26; 0.999611; -0.921179; 0.968333; 0.92; 2.12; 0.08",lora_cumulative_delta,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_llama32_20260722/r64/direct_run_set_analysis_summary.json",1b4a169ec951473c5183ec31ef572dabc65de2aaa7571ba8b14e314d394904b7,Exact match
C009,Green,Retain,Table 2,Fresh topology,llama32_full_ft,"50/26; rank 0.69; r_branch -0.68; clade 97%; PAER 92%; RF 2.12; FN 0.08","50/26; 0.686438; -0.682918; 0.968333; 0.92; 2.12; 0.08",full_weight,"50 recovery trees; 26 ordering-eligible","../WeightTraits/outputs/analysis_llama32_full_ft_20260722/production_rollup.json",35e3e8233e6723dcb42bcf7a780f41fb9c6d1ab1729b16947fb946b2af14b7c6,Exact production match
C010,Green,Retain,Main text line 421,Fresh-suite range,fresh_shared_suite,"Clade 88-97%; PAER 72-92%","Clade min/max 87.67/96.83%; PAER 72/92%",mixed explicitly,"8 fresh conditions",C002:C009,multiple,Correct rounding
C011,Red,Corrected,Appendix within-task lead-in,Stale range,appendix_multitask_range,"Clade 82-97% for Table 2","Current fresh Table 2 is 88-97%",mixed,"fresh shared suite",C002:C009,multiple,"Corrected 82 to 88 in iclr_draft_v4.tex"
C012,Green,Retain,Main text line 423,Parameter fraction,flan_enc_sak,"7.08M / 247.58M = 2.86% (about 3%)","7,077,888 / 247,577,856 = 2.8588%",full_weight subset,"12 encoder SA.k tensors",LayerTrace matrix set,not-single-file,Exact arithmetic
C013,Green,Retain,Table 4,Layer subset recovery,flan_layertrace,"enc_sak 95.7% clade and 91.5% PAER versus full 90.4% and 85.1%","Recomputed over 47 runs: 0.957447/0.914894 versus 0.904255/0.851064",full_weight subset,"47 matched runs","../ELLMTrees/results/runs_branching_v3/run_*/{weight,sparse_*}/avg_distance_cosine.npy",matrix-set,"All six table rows reproduced"
C014,Green,Retain,Figure 4 text,Diagnostic associations,fig4_summary,"n=31; Pearson 0.81/0.67; Spearman 0.40/0.04","n=31; Pearson 0.814168/0.673552; Spearman 0.402823/0.037500",summary diagnostics,"non-organic plotted summaries","../ELLMTrees/scripts/make_fig4_atteson_layers.py",57e3596f523782392ae11929e24600cea11d11daf64dfd952e4ca4170c38340c,Independently recomputed
C015,Green,Retain,Figure 4 text,Layer diagnostic coordinates,llama32_full_ft_layers,"9 norms at zero; embed/head 0.13; attention/MLP 0.46-1.85","9 zero norm summaries; embed/head 0.130384; linear range 0.457239-1.851622",per-layer full weight,"47 historical Llama full-FT runs","../ELLMTrees/results/runs_llama1b_base_full_ft/run_*/weight/full_distance_cosine.npy",matrix-set,Exact match
C016,Yellow,Retain with sensitivity,Main behavior table,HellaSwag bridge,llama32_full_ft_hellaswag,"EOS-inclusive r_DL=-0.20 [-0.30,-0.10]","-0.203554 [-0.303171,-0.099535]; empty-excluding -0.081310 [-0.181534,0.020585]",full_weight versus semantic,"50 fresh trees; EOS-inclusive primary","../WeightTraits-free-text/results/behavior/llama32_full_ft_final_20260731/source_tables/eos_inclusive/hellaswag_semantic_including_empty.pooling.csv",85127094a17846afafe5e83907647d669d1c4648c5ac23d3c47719177b4b0309,Correct but policy-sensitive
C017,Green,Retain,Main behavior table,ARC-C bridge,llama32_full_ft_arc,"r_DL=-0.08 [-0.15,-0.004]","-0.075170 [-0.145727,-0.003853]",full_weight versus semantic,"50 fresh trees; EOS-inclusive","../WeightTraits-free-text/results/behavior/llama32_full_ft_final_20260731/source_tables/eos_inclusive/arc_challenge_semantic_including_empty.pooling.csv",see-old-workbook-manifest,Exact match
C018,Green,Retain,Main behavior table,MMLU bridge,llama32_full_ft_mmlu,"r_DL=-0.09 [-0.16,-0.03]","-0.094777 [-0.156228,-0.032595]",full_weight versus semantic,"50 fresh trees; EOS-inclusive","../WeightTraits-free-text/results/behavior/llama32_full_ft_final_20260731/source_tables/eos_inclusive/mmlu_semantic_including_empty.pooling.csv",see-old-workbook-manifest,Exact match
C019,Green,Retain,Main behavior table,TruthfulQA bridge,llama32_full_ft_truthfulqa,"r_DL=-0.16 [-0.24,-0.08]","-0.160763 [-0.241636,-0.077672]",full_weight versus semantic,"50 fresh trees; EOS-inclusive","../WeightTraits-free-text/results/behavior/llama32_full_ft_final_20260731/source_tables/eos_inclusive/truthfulqa_semantic_including_empty.pooling.csv",see-old-workbook-manifest,Exact match
C020,Green,Retain,EOS sensitivity appendix,EOS sensitivity,llama32_empty_policy,"Hella -0.204 included versus -0.081 excluded; other probes stable","Exact table match; Dolly included +0.020653 and excluded +0.0258",full_weight versus semantic,"50 fresh trees","../WeightTraits-free-text/results/behavior/llama32_full_ft_final_20260731/source_tables/{eos_inclusive,empty_excluding}",multiple,Exact match
C021,Green,Retain,EOS depth appendix,Empty by depth,llama32_empty_depth,"HellaSwag 13.64%,20.90%,31.46%,32.87%","13.641%,20.899%,31.462%,32.874%",generation output,"all leaves and three draws by depth","../WeightTraits-free-text/results/behavior/llama32_full_ft_final_20260731/source_tables/empty_depth/empty_rate_by_depth.csv",eda6aa1828e5dcf9c5f8068601ac5d5589bbff74432f8dee7c2cbed463a5636d,Exact rounding
C022,Yellow,Clarify cohort,Main behavior table,Llama translation bridge,llama_translation_historical,"trained -0.29; held-out -0.33","-0.294499 and -0.332542",historical full_weight,"ELLMTrees historical cohorts n=50/49",Old workbook Bridge source set,see-old-workbook-manifest,Correct values but not fresh matched Llama cohort
C023,Yellow,Clarify cohort,Main behavior table,Flan bridge,flan_behavior_historical,"Six Flan cells from -0.34 to +0.11","Exact Bridge Summary match",historical full_weight,"ELLMTrees historical cohorts n=47-50",Old workbook Bridge source set,see-old-workbook-manifest,Correct values; several held-out probes are degeneration diagnostics
C024,Green,Retain,Table 6,Behavior regressions,regression_audit,"Seven audited current coefficients","All seven current raw/semi/std/p values match manuscript rounding",historical mixed,"n=28-43 by row","../ELLMTrees/results/aggregate/regression_*_semantic*_practical.csv",multiple,Manuscript uses current audited values not archived workbook paper values
C025,Green,Retain,Table 9,Within-task recovery,within_task_full_ft,"Clade 59-87%; four task rows","Recomputed: classification .868421; QA .755319; translation .719857; summarization .592198",full_weight,"38/47/47/47 eligible runs","../ELLMTrees/results/aggregate/recovery_rescore/per_run_cosine.csv",007eb01c118d75f0415d3b9d83b2d371ed387a9e72e20ab9d45e579b7a8711ba,Exact match including SE/PAER/RF/FN
C026,Red,Removed pending frozen rerun,Task-metadata appendix,Task-path baseline,taskpath_baseline,"Originally n=47; clade 65.6% (SE 5.2%); PAER 44.7% (SE 7.3%)","Checked-in script: n=50, 61.7%, 42.0%; current scorer on stated n=47: 77.0%, 66.0%",task labels only,"eligibility/scorer unresolved","../ELLMTrees/scripts/taskpath_baseline.py",649d63a4e6486c40764fbca70a038449fec3fd87a225b3d5f09506f5387174f0,"Not reproducible; numerical paragraph removed from v4"
C027,Green,Retain with historical label,Table 10,PhyloLM controlled comparison,phylolm_historical,"Five matched rows: weights 85-96% versus behavior 29-56%","Exact matched intersections n=47/47/47/44/46 reproduce all displayed cells",historical weight and behavior,"explicit rowwise intersection","../ELLMTrees/results/aggregate/recovery_rescore_phylolm/{per_run_cosine,per_run_metrics}.csv","55045a80...;6d445d3d...",Exact; manuscript now labels historical scope
C028,Green,Retain,Mistral main text,Organic weight topology,mistral_weight,"Weights recover all 3 documented splits","frechet_cosine FN=0 of 3; clade=1.0",BHV Frechet full weights,"10 public checkpoints","../ELLMTrees/results/hf_zoo/d_mistral_7b/weight_frechet/recovery_rescore/clade_recovery.csv",475ae212a41e9e58664de6827c518727c43ed0e2381ebf10a8fcb8af8a4e2279,Exact
C029,Green,Retain,Mistral main text,Organic PhyloLM topology,mistral_phylolm,"PhyloLM recovers all 3 documented splits","phylolm_nj FN=0 of 3; clade=1.0",behavior-only genetic distance,"same 10 checkpoints","../ELLMTrees/results/hf_zoo/d_mistral_7b/phylolm/recovery_rescore/clade_recovery.csv",d2e1954d94054619a5a04b8ed3acc43dfc53570082648ec359ca8326768065f2,Exact
C030,Green,Retain,Mistral main text,Naive behavior topology,mistral_naive_semantic,"Naive sentence-embedding tree recovers one fork","avg cosine reconstruction FN=2 of 3; clade=0.3333",behavior embedding distance,"same 10 checkpoints","../ELLMTrees/results/hf_zoo/d_mistral_7b/blackbox_frechet/recovery_rescore/clade_recovery.csv",b993460f2670f8a9444eb7267d469cc1f759584f2a168bcfd833af40dc9c2ede,Exact
C031,Green,Retain,Mistral main text,Organic additivity,mistral_additivity,"Informative A=0.98 weights versus 0.84 PhyloLM","0.9825 versus 0.8348",distance-matrix diagnostic,"81 truth-informative quartets","../ELLMTrees/results/hf_zoo/d_mistral_7b/{weight_frechet,phylolm}/recovery_rescore/fourpoint_additivity.json","914ddb86...;cf17872b...",Exact rounding
C032,Yellow,Clarify scope,Abstract and conclusion,PAER headline,controlled_mixed,"Across controlled conditions PAER 72-94%","Fresh shared suite is 72-92%; 94% is historical Llama r64 (93.6% rounded)",mixed,"fresh plus historical controlled cohorts",Fresh summaries plus historical recovery CSV,multiple,Numerically defensible only with explicit historical inclusion
