source_id,repo,repo_commit,tracked_state,path,sha256,purpose
S001,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_v20260713/lora_k_only_summary.json,237d9c2e2d9b38014e2116ccf64af7c3dca7cc06fae653915f562ca2a3abba29,Fresh Flan k-only topology
S002,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_v20260713/lora_qkv_summary.json,d40c42d14d249398695958d835c602444b7ed1f33265f97e304a8ac786b37dc3,Fresh Flan qkv topology
S003,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_v20260713/lora_full_attn_summary.json,38c1bd6a64ef4fc7c243c801e7fe045610ef25233edb27899d2e6a496d4223e2,Fresh Flan all-attention topology
S004,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_v20260713/lora_all_projections_corrected_summary.json,01ff06d9922a33fd8bafa98adc1ba1819f6fceacbb32a7ea86fac1d1555c95cb,Fresh Flan all-projections topology
S005,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_v20260713/full_finetune_summary.json,2b93b7ca9adc2003b0161828d91388f82ca683364a4b086ea7d726060052fb20,Fresh Flan full-FT topology
S006,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_llama32_20260722/r8/direct_run_set_analysis_summary.json,919c382f1142d7719ddbe915a0dc271ed0c8115600a1652f4bd0db8c341d79c3,Fresh Llama r8 topology
S007,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_llama32_20260722/r64/direct_run_set_analysis_summary.json,1b4a169ec951473c5183ec31ef572dabc65de2aaa7571ba8b14e314d394904b7,Fresh Llama r64 topology
S008,WeightTraits,eee84c8bb190b01bb05788c4e5c194f5d490a747,ignored-output,outputs/analysis_llama32_full_ft_20260722/production_rollup.json,35e3e8233e6723dcb42bcf7a780f41fb9c6d1ab1729b16947fb946b2af14b7c6,Fresh Llama full-FT topology
S009,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,tracked-clean,results/aggregate/recovery_rescore/per_run_cosine.csv,007eb01c118d75f0415d3b9d83b2d371ed387a9e72e20ab9d45e579b7a8711ba,Historical recovery and within-task
S010,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,untracked,results/aggregate/recovery_rescore_phylolm/per_run_cosine.csv,55045a80eaee8dd5cb8abb80e03272626fe27f3a1cff392f05bcfe4bce20b256,Historical matched weight recovery
S011,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,untracked,results/aggregate/recovery_rescore_phylolm/per_run_metrics.csv,6d445d3d3f26c6432c0b6ceddbbd9238a29b46b853a336734178771846af36ca,Historical PhyloLM recovery
S012,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,tracked-modified,scripts/make_fig4_atteson_layers.py,57e3596f523782392ae11929e24600cea11d11daf64dfd952e4ca4170c38340c,Figure-4 construction and summaries
S013,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,tracked-clean,scripts/taskpath_baseline.py,649d63a4e6486c40764fbca70a038449fec3fd87a225b3d5f09506f5387174f0,Task-metadata baseline reproduction
S014,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,untracked,results/hf_zoo/d_mistral_7b/weight_frechet/recovery_rescore/clade_recovery.csv,475ae212a41e9e58664de6827c518727c43ed0e2381ebf10a8fcb8af8a4e2279,Mistral weight topology
S015,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,untracked,results/hf_zoo/d_mistral_7b/phylolm/recovery_rescore/clade_recovery.csv,d2e1954d94054619a5a04b8ed3acc43dfc53570082648ec359ca8326768065f2,Mistral PhyloLM topology
S016,ELLMTrees,f9a77e2eeff696dfbe0e62cb44b1078840790865,untracked,results/hf_zoo/d_mistral_7b/blackbox_frechet/recovery_rescore/clade_recovery.csv,b993460f2670f8a9444eb7267d469cc1f759584f2a168bcfd833af40dc9c2ede,Mistral naive behavior topology
S017,WeightTraits-free-text,a8acb35ebde006f9b9d58309da69bcdd70c4f883,ignored-output,results/behavior/llama32_full_ft_final_20260731/source_tables/eos_inclusive/hellaswag_semantic_including_empty.pooling.csv,85127094a17846afafe5e83907647d669d1c4648c5ac23d3c47719177b4b0309,Fresh EOS-inclusive HellaSwag bridge
S018,WeightTraits-free-text,a8acb35ebde006f9b9d58309da69bcdd70c4f883,ignored-output,results/behavior/llama32_full_ft_final_20260731/source_tables/empty_excluding/hellaswag_semantic.pooling.csv,8a9564f6926e91ddedaf5b983da36fd352c15c7d33687b42c44c73b7e1021fa9,Fresh empty-excluding HellaSwag bridge
S019,WeightTraits-free-text,a8acb35ebde006f9b9d58309da69bcdd70c4f883,ignored-output,results/behavior/llama32_full_ft_final_20260731/source_tables/empty_depth/empty_rate_by_depth.csv,eda6aa1828e5dcf9c5f8068601ac5d5589bbff74432f8dee7c2cbed463a5636d,Empty-output depth rates
